feature,coefficient
B01001B_020E,0.0014712014698352574
B01001B_027E,-0.000523495224350764
B01001B_029E,0.0002954763967240679
B01001B_023E,0.00019522624821652294
B01001B_026E,0.0001673283805530961
B01001B_018E,-0.0001570454229085555
B01001B_025E,-0.00014569327552756467
B01001B_012E,-0.00014229260088257075
B01001B_011E,9.603329222351709e-05
B01001B_010E,8.497515930181178e-05
B01001B_017E,-6.949313139465105e-05
B01001B_024E,-5.899062142230532e-05
B01001B_014E,3.9964237383362396e-05
B01001B_028E,5.265584365108968e-06
