"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"U.S. Senator","Philip L. Cornell","(Prefers Democratic Party)",46460,3.35,"Federal"
"U.S. Senator","Sam Wright","(Prefers The Human Rights Party)",10751,0.78,"Federal"
"U.S. Senator","Chris Vance","(Prefers Republican Party)",381004,27.51,"Federal"
"U.S. Senator","Uncle Mover ","(Prefers Republican Party)",8569,0.62,"Federal"
"U.S. Senator","Zach Haller","(Prefers Independent Party)",5092,0.37,"Federal"
"U.S. Senator","Donna Rae Lands","(Prefers Conservative Party)",11472,0.83,"Federal"
"U.S. Senator","Mohammad Said","(Prefers Democratic Party)",13362,0.96,"Federal"
"U.S. Senator","Eric John Makus","(Prefers Republican Party)",57825,4.18,"Federal"
"U.S. Senator","Alex Tsimerman","(Prefers Standupamerica Party)",4117,0.3,"Federal"
"U.S. Senator","Dr Pano Churchill","(Prefers Lincoln Caucus Party)",5150,0.37,"Federal"
"U.S. Senator","Patty Murray","(Prefers Democratic Party)",745421,53.82,"Federal"
"U.S. Senator","Ted Cummings","(Prefers Independent Party)",11028,0.8,"Federal"
"U.S. Senator","Thor Amundson","(Prefers Democratic Party)",7906,0.57,"Federal"
"U.S. Senator","Scott Nazarino","(Prefers Republican Party)",41542,3,"Federal"
"U.S. Senator","Mike Luke","(Prefers Libertarian Party)",20988,1.52,"Federal"
"U.S. Senator","Chuck Jackson","(Prefers Independent Party)",6318,0.46,"Federal"
"U.S. Senator","Jeremy Teuton ","(Prefers System Reboot Party)",7991,0.58,"Federal"
"Congressional District 1 - U.S. Representative","Suzan DelBene ","(Prefers Democratic Party)",77756,53.55,"Congressional"
"Congressional District 1 - U.S. Representative","John Orlinski","(Prefers Republican Party)",13694,9.43,"Congressional"
"Congressional District 1 - U.S. Representative","Scott Stafne","(Prefers Libertarian Party)",4601,3.17,"Congressional"
"Congressional District 1 - U.S. Representative","Robert J. Sutherland","(Prefers Republican Party)",44970,30.97,"Congressional"
"Congressional District 1 - U.S. Representative","Alex Storms","(Prefers Independent Party)",4194,2.89,"Congressional"
"Congressional District 2 - U.S. Representative","Brian Luke","(Prefers Libertarian Party)",4771,3.44,"Congressional"
"Congressional District 2 - U.S. Representative","Mike Lapointe","(Prefers Democratic Party)",14697,10.58,"Congressional"
"Congressional District 2 - U.S. Representative","Kari Ilonummi","(States No Party Preference)",2628,1.89,"Congressional"
"Congressional District 2 - U.S. Representative","Marc Hennemann","(Prefers Republican Party)",44822,32.28,"Congressional"
"Congressional District 2 - U.S. Representative","Rick Larsen","(Prefers Democratic Party)",71955,51.81,"Congressional"
"Congressional District 3 - U.S. Representative","David McDevitt","(Prefers Democratic Party)",12896,10.2,"Congressional"
"Congressional District 3 - U.S. Representative","Jim Moeller","(Prefers Democratic Party)",30848,24.4,"Congressional"
"Congressional District 3 - U.S. Representative","Angela (Angie) Marx","(Prefers Democratic Party)",4851,3.84,"Congressional"
"Congressional District 3 - U.S. Representative","Kathleen (Grandma Warrior) Arthur","(Prefers Democratic Party)",4296,3.4,"Congressional"
"Congressional District 3 - U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)",70142,55.48,"Congressional"
"Congressional District 3 - U.S. Representative","L.A. (Worthy) Worthington","(States No Party Preference)",3402,2.69,"Congressional"
"Congressional District 4 - U.S. Representative","Dan Newhouse","(Prefers Republican Party)",44720,45.77,"Congressional"
"Congressional District 4 - U.S. Representative","Glenn M. Jakeman","(Prefers Republican Party)",2090,2.14,"Congressional"
"Congressional District 4 - U.S. Representative","Doug McKinley","(Prefers Democratic Party)",21678,22.19,"Congressional"
"Congressional District 4 - U.S. Representative","Clint Didier","(Prefers Republican Party)",26892,27.53,"Congressional"
"Congressional District 4 - U.S. Representative","John (the man) Malan","(Prefers Democratic Party)",2320,2.37,"Congressional"
"Congressional District 5 - U.S. Representative","Dave Wilson","(Prefers Independent Party)",18993,13.31,"Congressional"
"Congressional District 5 - U.S. Representative","Tom Horne","(Prefers Republican Party)",15830,11.09,"Congressional"
"Congressional District 5 - U.S. Representative","Joe Pakootas","(Prefers Democratic Party)",44999,31.54,"Congressional"
"Congressional District 5 - U.S. Representative","Krystol McGee","(Prefers Libertarian Party)",2678,1.88,"Congressional"
"Congressional District 5 - U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)",60184,42.18,"Congressional"
"Congressional District 6 - U.S. Representative","Derek Kilmer","(Prefers Democratic Party)",87311,58.37,"Congressional"
"Congressional District 6 - U.S. Representative","Stephan Andrew Brodhead","(Prefers Republican Party)",12269,8.2,"Congressional"
"Congressional District 6 - U.S. Representative","Paul L. Nuchims","(Prefers Democratic Party)",3318,2.22,"Congressional"
"Congressional District 6 - U.S. Representative","Todd A. Bloom","(Prefers Republican Party)",36659,24.51,"Congressional"
"Congressional District 6 - U.S. Representative","Mike Coverdale","(States No Party Preference)",7223,4.83,"Congressional"
"Congressional District 6 - U.S. Representative","Tyler Myles Vega","(Prefers Green Party)",2803,1.87,"Congressional"
"Congressional District 7 - U.S. Representative","Brady Pinero Walkinshaw","(Prefers Democratic Party)",41773,21.26,"Congressional"
"Congressional District 7 - U.S. Representative","Scott Sutherland","(Prefers Republican Party)",9008,4.58,"Congressional"
"Congressional District 7 - U.S. Representative","Don Rivers","(Prefers Democratic Party)",2379,1.21,"Congressional"
"Congressional District 7 - U.S. Representative","Pramila Jayapal","(Prefers Democratic Party)",82753,42.11,"Congressional"
"Congressional District 7 - U.S. Representative","Leslie Regier","(States No Party Preference)",2592,1.32,"Congressional"
"Congressional District 7 - U.S. Representative","Craig Keller","(Prefers Republican Party)",16058,8.17,"Congressional"
"Congressional District 7 - U.S. Representative","Arun Jhaveri","(Prefers Democratic Party)",3389,1.72,"Congressional"
"Congressional District 7 - U.S. Representative","Joe McDermott","(Prefers Democratic Party)",37495,19.08,"Congressional"
"Congressional District 7 - U.S. Representative","Carl Cooper","(States No Party Preference)",1056,0.54,"Congressional"
"Congressional District 8 - U.S. Representative","Dave Reichert","(Prefers Republican Party)",73600,56.82,"Congressional"
"Congressional District 8 - U.S. Representative","Margaret M. Walsh","(Prefers We R Independent Party)",2024,1.56,"Congressional"
"Congressional District 8 - U.S. Representative","Alida Skold","(Prefers Democratic Party)",10825,8.36,"Congressional"
"Congressional District 8 - U.S. Representative","Tony Ventrella","(Prefers Democratic Party)",22035,17.01,"Congressional"
